name,nameEng,imageUrl,category,tags,popularity,description
콩나물국밥,Bean Sprout and Rice Soup,assets/images/foods/bean_sprout_and_rice_soup.jpg,한식,"국밥,따뜻한음식,해장요리,간단음식",5,콩나물과 밥을 뜨거운 국물에 말아 먹는 음식
비빔밥,Bibimbap,assets/images/foods/bibimbap.jpg,한식,"비빔요리,건강음식,나물,대표음식",5,"밥 위에 나물, 고기, 달걀 등을 얹고 고추장을 섞어 먹는 요리"
뚝배기 불고기,Ttukbaegi Bulgogi,assets/images/foods/bulgogi_hot_pot.jpg,한식,"국물요리,소고기,따뜻한음식",5,"뚝배기에 양념한 소불고기와 양파, 당근, 팽이버섯 등을 넣어 끓인 요리"
냉면,Cold Noodles,assets/images/foods/cold_noodles.jpg,한식,"면요리,차가운음식,여름음식,별미",5,차가운 육수나 비빔 양념과 함께 먹는 가늘고 쫄깃한 면 요리
김밥,Gimbap,assets/images/foods/gimbap.jpg,한식,"간편음식,도시락,롤요리,인기메뉴",5,밥과 다양한 재료를 김으로 말아 만든 간편한 한식 요리
삼계탕,Ginseng Chicken Soup,assets/images/foods/ginseng_chicken_soup.jpg,한식,"국물요리,보양식,닭고기,건강음식",5,닭 속에 찹쌀과 한약재를 넣고 끓인 보양 음식
파전,Green Onion Pancake,assets/images/foods/green_onion_pancake.jpg,한식,"전요리,부침개,전통음식,간식",5,파를 주재료로 한 전통 한국식 부침개
삼겹살구이,Grilled Pork Belly,assets/images/foods/grilled_pork_belly.jpg,한식,"고기요리,구이요리,바비큐",5,두툼한 삼겹살을 구워 쌈에 싸먹는 한국식 바비큐
김치전,Kimchi Pancake,assets/images/foods/kimchi_pancake.jpg,한식,"전요리,부침개,매운음식,발효음식",5,김치를 밀가루 반죽에 섞어 부친 전 요리
김치찌개,Kimchi Stew,assets/images/foods/kimchi_stew.jpg,한식,"찌개,국물요리,매운음식,발효음식",5,김치와 돼지고기 또는 두부를 넣어 끓인 한국의 매운 국물 요리
칼국수,Knife-Cut Noodles,assets/images/foods/knife_cut_noodles.jpg,한식,"면요리,따뜻한음식,국물요리",5,밀가루 반죽을 얇게 썰어 육수에 끓인 국수 요리
